script,run,epoch1_pearson,epoch1_accuracy,epoch1_combine,epoch2_pearson,epoch2_accuracy,epoch2_combine,epoch3_pearson,epoch3_accuracy,epoch3_combine,test_pearson,test_accuracy,test_combine
nlp_hw3_bert.py,9,10,0.7909000266163227,0.564,0.6774500133081613,0.8417725956500235,0.796,0.8188862978250118,0.8570051165311974,0.828,0.8425025582655987,0.8604389370078779,0.8199715851430891,0.8402052610754835
nlp_hw3_bert.py,10,1,0.7517925006385049,0.564,0.6578962503192525,0.808158516685307,0.678,0.7430792583426535,0.8357789917887958,0.798,0.816889495894398,0.8423657036088171,0.7990663689872133,0.8207160362980153
nlp_hw3_bert.py,10,2,0.7523668314772569,0.564,0.6581834157386284,0.799521705409405,0.686,0.7427608527047025,0.8315088966861083,0.796,0.8137544483430541,0.8394828080660703,0.8057641566876396,0.822623482376855
nlp_hw3_bert.py,10,3,0.7671155367592034,0.564,0.6655577683796017,0.8143179313345719,0.69,0.7521589656672859,0.840346045821676,0.818,0.829173022910838,0.846136414567017,0.8102293484879237,0.8281828815274703
nlp_hw3_bert.py,10,4,0.7742547176348797,0.564,0.6691273588174398,0.8149002887308019,0.666,0.740450144365401,0.8286964187407742,0.77,0.7993482093703871,0.8389968304620693,0.7607063121574995,0.7998515713097845
nlp_hw3_bert.py,10,5,0.7656419265465881,0.564,0.664820963273294,0.8008341520711164,0.698,0.7494170760355582,0.8338084845463282,0.816,0.8249042422731641,0.8329108165920412,0.7992693322508626,0.8160900744214519
nlp_hw3_bert.py,10,6,0.7611822917221918,0.564,0.6625911458610958,0.8040380050019718,0.668,0.7360190025009858,0.835564987788742,0.78,0.807782493894371,0.8377829041824416,0.7911508017048914,0.8144668529436665
nlp_hw3_bert.py,10,7,0.7657757608492873,0.564,0.6648878804246436,0.8190299427313236,0.682,0.7505149713656618,0.8422371484537285,0.804,0.8231185742268643,0.8428404262275578,0.800284148569109,0.8215622873983335
nlp_hw3_bert.py,10,8,0.7641953702674598,0.564,0.6640976851337299,0.8090581748509856,0.65,0.7295290874254928,0.8480053770666333,0.802,0.8250026885333166,0.8395627228539463,0.8027197077329004,0.8211412152934233
nlp_hw3_bert.py,10,9,0.7628984016265955,0.564,0.6634492008132977,0.8167819960947428,0.69,0.7533909980473714,0.8412453553788697,0.806,0.8236226776894349,0.841891878037759,0.8012989648873554,0.8215954214625572
nlp_hw3_bert.py,10,10,0.757583798800656,0.564,0.6607918994003279,0.8168236419394792,0.67,0.7434118209697396,0.8389332700168585,0.794,0.8164666350084293,0.8422708397316397,0.8073878627968337,0.8248293512642367
nlp_hw3_bert.py,11,1,0.7537755594160479,0.564,0.6588877797080239,0.793220845630169,0.572,0.6826104228150844,0.8094680418469948,0.692,0.7507340209234974,0.8173722065431044,0.6908869494621473,0.7541295780026258
nlp_hw3_bert.py,11,2,0.7516041351148828,0.564,0.6578020675574414,0.7915777979734894,0.596,0.6937888989867447,0.8070225592911848,0.7,0.7535112796455924,0.8197652732287936,0.6943373249441851,0.7570512990864893
nlp_hw3_bert.py,11,3,0.7436207855969404,0.564,0.6538103927984702,0.7939096729233172,0.6,0.6969548364616586,0.8194515011918976,0.716,0.7677257505959487,0.8221983403132648,0.6977877004262228,0.7599930203697438
